"timestamp","message","geoname","lat","long","category","geom","data_source","data_source_link","translation_ru","translation_en","translation_he","wikilat","wikilong","wikigeom","news_id"
"2026-03-01 16:25:36","דיווחי זוועה מבתי הכלא באיראן: משמרות המהפכה החלו בהוצאת אלפי אסירים פוליטיים ומתנגדי משטר ושינועם כשהם כבולים למתחמים אסטרטגיים, סמלי שלטון ומפקדות רשמיות ברחבי המדינה,על מנת ליצור ""מגנים אנושיים"" באתרי מטרה של צה""ל וצבא ארה""ב כדי להאשים את המערב בפגיעה באזרחים במקרה של תקיפה.  https://t.me/yediotnews25","Iran","32","53","security","0101000020E61000000000000000804A400000000000004040","חדשות 100שטח","https://t.me/yediotnews25/118670","Ужасные сообщения из тюрем в Иране: Корпус стражей исламской революции начал вывозить тысячи политических заключенных и противников режима и перевозить их, скованных, в стратегические комплексы, символы правительства и официальные штабы по всей стране, чтобы создать «живой щит» на целевых объектах ЦАХАЛа и армии США, чтобы обвинить Запад в нанесении вреда гражданским лицам в случае нападения.","Horror reports from prisons in Iran: The Islamic Revolutionary Guard Corps has begun removing thousands of political prisoners and opponents of the regime and transporting them, bound, to strategic complexes, government symbols and official headquarters throughout the country, in order to create a ""human shield"" at the target sites of the IDF and the US Army in order to accuse the West of harming civilians in the event of an attack.","דיווחים מזעזעים מבתי הכלא באיראן: משמרות המהפכה החלו בהוצאת אלפי אסירים פוליטיים ומתנגדי משטר ושינועם כשהם כבולים למתחמים אסטרטגיים, סמלי שלטון ומפקדות רשמיות ברחבי המדינה, על מנת ליצור ""מגנים אנושיים"" באתרי מטרה של צה""ל וצבא ארה""ב","0","0","0101000020E610000000000000000000000000000000000000",33249
"2026-03-01 16:25:27","דיווח איראני: יחידות חמושות של ארגון אופוזיציה המתנגד למשטר תקפו רכב סיור של משמרות המהפכה בעיר בורוג'רד, הציתו אותו וירו על כוחות הביטחון של המשטר.  https://t.me/yediotnews25","Borujerd","33.8901","48.7559","security","0101000020E6100000F085C954C1604840B515FBCBEEF14040","חדשות 100שטח","https://t.me/yediotnews25/118668","Иранское сообщение: Вооруженные подразделения оппозиционной организации, выступающей против режима, напали на патрульную машину Корпуса стражей исламской революции в городе Боруджерд, подожгли ее и открыли огонь по силам безопасности режима.","Iranian report: Armed units of an opposition organization against the regime attacked a patrol vehicle of the Islamic Revolutionary Guard Corps in the city of Borujerd, set it on fire, and shot at the regime's security forces.","דיווח איראני: יחידות חמושות של ארגון אופוזיציה המתנגד למשטר תקפו רכב סיור של משמרות המהפכה בעיר בורוג'רד, הציתו אותו וירו על כוחות הביטחון של המשטר.","0","0","0101000020E610000000000000000000000000000000000000",33248
"2026-03-01 16:25:19","Медицинский центр Ихилов:  В больнице Ихилов была констатирована смерть 102-летнего мужчины, который упал и получил травмы по пути в защищённое помещение.  Благословенна его память! 🕯 ","Ichilov","32.0792","34.7947","accident","0101000020E6100000CB10C7BAB8654140EEEBC039230A4040","ИнтеллиНьюз - Израиль и Ближний Восток. Все о безопасности","https://t.me/intellinews_russian/174669","Медицинский центр Ихилов: В больнице Ихилов была констатирована смерть 102-летнего мужчины, который упал и получил травмы по пути в защищённое помещение. Благословенна его память! 🕯","Ichilov Medical Center: A 102-year-old man who fell and was injured on the way to a protected area was pronounced dead at Ichilov Hospital. May his memory be blessed! 🕯","מרכז רפואי איכילוב: בבית החולים איכילוב נקבע מותו של גבר בן 102 שנפל ונפצע בדרכו למרחב מוגן. זכרונו לברכה! 🕯","0","0","0101000020E610000000000000000000000000000000000000",33247
"2026-03-01 16:25:13","Иран возобновил атаку по американским целям в Бахрейне.  #интеллиньюз 💻","Bahrain","26.0275","50.5500","security","0101000020E61000006666666666464940D7A3703D0A073A40","ИнтеллиНьюз - Израиль и Ближний Восток. Все о безопасности","https://t.me/intellinews_russian/174667","Иран возобновил атаку по американским целям в Бахрейне.","Iran has resumed its attack on American targets in Bahrain.","איראן חידשה את התקפה על מטרות אמריקאיות בבחריין.","0","0","0101000020E610000000000000000000000000000000000000",33246
"2026-03-01 16:25:09","נמל דובאי השרוף","Dubai","25.2048","55.2708","accident","0101000020E6100000DFE00B93A9A24B408638D6C56D343940","🔞 חדשות ישראל | ללא צנזורה חדשות ישראל","https://t.me/News_il_h/96952","Сгоревший порт Дубая","Burnt Dubai Port","נמל דובאי השרוף","0","0","0101000020E610000000000000000000000000000000000000",33245
"2026-03-01 16:10:33","הרוג נוסף: בבית החולים איכילוב נאלצו לקבוע את מותו של גבר בן 102 שנפל ונפצע בדרכו למרחב המוגן.  https://t.me/yediotnews25","Tel Aviv","32.0735","34.7816","accident","0101000020E6100000DC4603780B644140C520B07268094040","חדשות 100שטח","https://t.me/yediotnews25/118667","Еще одна жертва: в больнице Ихилов были вынуждены констатировать смерть 102-летнего мужчины, который упал и был ранен по дороге в убежище.","Another victim: Ichilov Hospital was forced to pronounce the death of a 102-year-old man who fell and was injured on his way to the shelter.","עוד הרוג: בבית החולים איכילוב נאלצו לקבוע את מותו של גבר בן 102 שנפל ונפצע בדרכו למרחב המוגן.","0","0","0101000020E610000000000000000000000000000000000000",33244
"2026-03-01 16:10:26","14 בני אדם עדיין נעדרים מתחת להריסות בבית שמש  https://t.me/yediotnews25","Bet Shemesh","31.7445","34.9888","accident","0101000020E6100000742497FF907E41403BDF4F8D97BE3F40","חדשות 100שטח","https://t.me/yediotnews25/118664","14 человек все еще числятся пропавшими без вести под завалами в Бейт-Шемеше","14 people are still missing under the rubble in Beit Shemesh","14 בני אדם עדיין נעדרים מתחת להריסות בבית שמש","0","0","0101000020E610000000000000000000000000000000000000",33243
"2026-03-01 15:55:24","באיראן מדווחים על תקיפות בעיר הנמל בנדר עבאס  https://t.me/yediotnews25","Bandar Abbas","27.1865","56.2822","security","0101000020E610000032772D211F244C4039B4C876BE2F3B40","חדשות 100שטח","https://t.me/yediotnews25/118652","В Иране сообщают о нападениях в портовом городе Бендер-Аббас","In Iran, attacks are reported in the port city of Bandar Abbas","באיראן מדווחים על תקיפות בעיר הנמל בנדר עבאס","0","0","0101000020E610000000000000000000000000000000000000",33242
"2026-03-01 15:55:16","Ганем Ибрагим:  Сообщение на CCN: Бин Салман дал разрешение саудовской армии отвечать на иранские атаки.  #интеллиньюз 💻","Ghanem Ibrahim","24.7136","46.6753","politics","0101000020E6100000917EFB3A70564740F46C567DAEB63840","ИнтеллиНьюз - Израиль и Ближний Восток. Все о безопасности","https://t.me/intellinews_russian/174662","Ганем Ибрагим: Сообщение на CCN: Бин Салман дал разрешение саудовской армии отвечать на иранские атаки. #интеллиньюз 💻","Ghanem Ibrahim: Report on CCN: Bin Salman gave permission to the Saudi army to respond to Iranian attacks. #intelnews 💻","גאנם איברהים: דיווח ב-CCN: בן סלמן נתן אישור לצבא הסעודי להגיב להתקפות איראניות. #אינטליניוז 💻","0","0","0101000020E610000000000000000000000000000000000000",33241
"2026-03-01 15:55:10","Видео с места прямого попадания иранской ракеты в Бейт Шемеше. (кредит: Пожарные и Спасатели)  #интеллиньюз","Beit Shemesh","31.7459","34.9865","security","0101000020E610000083C0CAA1457E41401E166A4DF3BE3F40","ИнтеллиНьюз - Израиль и Ближний Восток. Все о безопасности","https://t.me/intellinews_russian/174661","Видео с места прямого попадания иранской ракеты в Бейт Шемеше","Video from the scene of a direct hit by an Iranian rocket in Beit Shemesh","תיעוד מזירת פגיעה ישירה של רקטה איראנית בבית שמש","0","0","0101000020E610000000000000000000000000000000000000",33240
